periode;maindealercode;maindealername;soff;sales_to_ahass;quantityinunitofentry;unrestricteduse;targetsalesamic;bufferstock
45115;K0Z;ASTRA MOTOR SEMARANG;H350;1680;2668;8122;2329;1654
45072;R5Z;ASTRA MOTOR SAMARINDA;H800;8938;7945;5426;1418;5778
45021;G02;ASTRA MOTOR BENGKULU;H650;6909;3868;7813;8272;2252
44393;N02;ASTRA MOTOR MATARAM;H530;5001;6459;7038;7370;9489
44586;R4Z;ASTRA MOTOR BALIKPAPAN;H700;8832;2193;1095;3727;3627
42008;G01;ASTRA MOTOR PALEMBANG;H600;3880;2677;8013;4416;1807
44762;N02;ASTRA MOTOR MATARAM;H530;1195;5193;7228;7979;6325
43387;R5Z;ASTRA MOTOR SAMARINDA;H800;5693;2457;4532;4230;5564
44352;R4Z;ASTRA MOTOR BALIKPAPAN;H700;6120;8865;9142;7919;1275
44436;N02;ASTRA MOTOR MATARAM;H530;8598;7534;1529;2123;1827
44407;G01;ASTRA MOTOR PALEMBANG;H600;8672;7794;5760;849;4923
43924;G01;ASTRA MOTOR PALEMBANG;H600;4849;3572;5088;2699;6998
42822;L01;ASTRA MOTOR YOGYAKARTA;H360;660;4495;6835;368;7996
44097;Z11;ASTRA MOTOR JAYAPURA;H790;7038;8811;1202;6195;1676
43548;L01;ASTRA MOTOR YOGYAKARTA;H360;2563;7963;348;2003;7057
44237;N01;ASTRA MOTOR DENPASAR;H540;4927;7062;6618;6562;8385
42976;N01;ASTRA MOTOR DENPASAR;H540;8599;3391;6472;6379;5860
42277;W01;ASTRA MOTOR MAKASSAR;H760;7533;6489;6539;4473;2372
44987;R4Z;ASTRA MOTOR BALIKPAPAN;H700;4004;309;6939;7117;3049
44143;W01;ASTRA MOTOR MAKASSAR;H760;1585;8484;5681;2490;5385
43043;G01;ASTRA MOTOR PALEMBANG;H600;5401;2059;4550;8715;2428
43209;L01;ASTRA MOTOR YOGYAKARTA;H360;1636;9532;7964;4478;8858
43398;K0Z;ASTRA MOTOR SEMARANG;H350;3555;3277;269;5168;1357
42176;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7673;5301;8911;594;8162
45059;N02;ASTRA MOTOR MATARAM;H530;8497;1736;3866;4967;2354
44513;K0Z;ASTRA MOTOR SEMARANG;H350;9045;7924;8169;7544;4959
44060;N02;ASTRA MOTOR MATARAM;H530;3835;5469;2409;2625;3008
43942;N01;ASTRA MOTOR DENPASAR;H540;8383;841;6876;3448;5828
43785;G01;ASTRA MOTOR PALEMBANG;H600;1195;4013;4947;4900;10
42502;G02;ASTRA MOTOR BENGKULU;H650;481;8213;8944;5475;3835
42385;N02;ASTRA MOTOR MATARAM;H530;2918;8448;50;8726;6804
42154;N02;ASTRA MOTOR MATARAM;H530;2219;439;8292;4273;5041
43492;N01;ASTRA MOTOR DENPASAR;H540;7333;4291;1743;6806;2254
44219;R4Z;ASTRA MOTOR BALIKPAPAN;H700;959;1168;892;9528;3254
43638;N02;ASTRA MOTOR MATARAM;H530;394;4597;5473;1863;4376
42607;L01;ASTRA MOTOR YOGYAKARTA;H360;9783;3281;4884;3278;8394
43136;W01;ASTRA MOTOR MAKASSAR;H760;7538;2908;5512;8984;8048
44754;K0Z;ASTRA MOTOR SEMARANG;H350;3850;2065;1642;6928;1686
42768;N01;ASTRA MOTOR DENPASAR;H540;57;2383;603;6075;3166
42456;Z11;ASTRA MOTOR JAYAPURA;H790;2864;9106;5959;8179;8189
44467;Q01;ASTRA MOTOR PONTIANAK;H720;2396;6810;2908;2750;9777
42484;N01;ASTRA MOTOR DENPASAR;H540;8850;3293;7980;3696;8210
44398;Q01;ASTRA MOTOR PONTIANAK;H720;9362;6068;8768;5667;3290
44284;L01;ASTRA MOTOR YOGYAKARTA;H360;6071;3359;9306;2137;9664
44454;R4Z;ASTRA MOTOR BALIKPAPAN;H700;3688;2741;1214;4290;7656
44771;R4Z;ASTRA MOTOR BALIKPAPAN;H700;7841;6498;2953;838;3786
44885;N01;ASTRA MOTOR DENPASAR;H540;3897;3779;4491;8858;8742
42994;G02;ASTRA MOTOR BENGKULU;H650;3391;9219;6335;4688;1495
45226;K0Z;ASTRA MOTOR SEMARANG;H350;917;7653;7392;6651;1565
42175;Q01;ASTRA MOTOR PONTIANAK;H720;2968;9019;8831;5826;6287
44969;N02;ASTRA MOTOR MATARAM;H530;4799;3521;9322;6890;9178
43836;L01;ASTRA MOTOR YOGYAKARTA;H360;8516;2438;6396;8079;8189
44061;R4Z;ASTRA MOTOR BALIKPAPAN;H700;9496;7418;4303;1545;3818
44600;R5Z;ASTRA MOTOR SAMARINDA;H800;4159;3373;6684;1317;4345
44069;Z11;ASTRA MOTOR JAYAPURA;H790;1218;7546;9408;768;2994
43111;K0Z;ASTRA MOTOR SEMARANG;H350;3995;5705;1671;2802;2306
42807;N01;ASTRA MOTOR DENPASAR;H540;7114;36;4896;5589;1470
44985;G02;ASTRA MOTOR BENGKULU;H650;66;6367;9614;1937;2450
42707;N02;ASTRA MOTOR MATARAM;H530;7299;2822;4050;6397;1739
42025;G01;ASTRA MOTOR PALEMBANG;H600;9547;3206;5611;3001;6028
43331;W01;ASTRA MOTOR MAKASSAR;H760;854;3596;7934;2694;966
44336;G01;ASTRA MOTOR PALEMBANG;H600;4904;5985;2002;4364;7340
42430;N02;ASTRA MOTOR MATARAM;H530;7317;6947;6577;6092;7452
44275;Q01;ASTRA MOTOR PONTIANAK;H720;9450;4477;9926;2611;2644
42261;R4Z;ASTRA MOTOR BALIKPAPAN;H700;6117;7859;1559;1173;9929
43067;W01;ASTRA MOTOR MAKASSAR;H760;1839;2918;8772;1311;4050
42362;R5Z;ASTRA MOTOR SAMARINDA;H800;765;3559;6233;7217;9313
